date,nav_pre,nav,ret,turnover,fee_cost,slippage_cost,total_cost,gross_trade_notional,weights,n_positions,top_asset,top_weight
2003-12-08 00:00:00,989858.2176181657,989858.2176181657,-0.0009288602437155236,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15056400386574612, 'SHY': 0.8494359961342539}",2,SHY,0.8494359961342539
2003-12-09 00:00:00,988513.746932172,988513.746932172,-0.0013582457184916352,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.14992533557705195, 'SHY': 0.8500746644229481}",2,SHY,0.8500746644229481
2003-12-10 00:00:00,990121.1598704897,990121.1598704897,0.0016260906267679953,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.1502728729484558, 'SHY': 0.8497271270515443}",2,SHY,0.8497271270515443
2003-12-11 00:00:00,992387.4698649077,992387.4698649077,0.0022889218878165973,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15046009882970504, 'SHY': 0.849539901170295}",2,SHY,0.849539901170295
2003-12-12 00:00:00,992269.7027731484,992269.7027731484,-0.00011867047432112532,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.1505664742524089, 'SHY': 0.8494335257475911}",2,SHY,0.8494335257475911
2003-12-15 00:00:00,991977.1061698387,991977.1061698387,-0.0002948760830769892,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.1505223415586271, 'SHY': 0.8494776584413729}",2,SHY,0.8494776584413729
2003-12-16 00:00:00,996020.6927784121,996020.6927784121,0.004076290252490011,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.1499994445268787, 'SHY': 0.8500005554731214}",2,SHY,0.8500005554731214
2003-12-17 00:00:00,996488.6622904806,996488.6622904806,0.00046983914637666047,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15029593846331482, 'SHY': 0.8497040615366852}",2,SHY,0.8497040615366852
2003-12-18 00:00:00,996913.3979482749,996913.3979482749,0.00042623230335414597,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15045183806859447, 'SHY': 0.8495481619314055}",2,SHY,0.8495481619314055
2003-12-19 00:00:00,997192.0272641863,997192.0272641863,0.00027949199648125145,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15048333393950558, 'SHY': 0.8495166660604944}",2,SHY,0.8495166660604944
2003-12-22 00:00:00,996605.5952408996,996605.5952408996,-0.0005880833452867051,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.1504983052802058, 'SHY': 0.8495016947197942}",2,SHY,0.8495016947197942
2003-12-23 00:00:00,994685.1247968093,994685.1247968093,-0.0019270115011005284,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15020084942414125, 'SHY': 0.8497991505758588}",2,SHY,0.8497991505758588
2003-12-24 00:00:00,996753.7228405324,996753.7228405324,0.002079651129945015,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15000651893256184, 'SHY': 0.8499934810674381}",2,SHY,0.8499934810674381
2003-12-26 00:00:00,998218.4212576777,998218.4212576777,0.0014694687198872902,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.15053355713070787, 'SHY': 0.8494664428692922}",2,SHY,0.8494664428692922
2003-12-29 00:00:00,996722.6409262116,996722.6409262116,-0.0014984499380221727,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.1503925666300605, 'SHY': 0.8496074333699395}",2,SHY,0.8496074333699395
2003-12-30 00:00:00,996856.0059065941,996856.0059065941,0.0001338035025055806,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.1500937330726793, 'SHY': 0.8499062669273207}",2,SHY,0.8499062669273207
2003-12-31 00:00:00,998153.1636973397,998153.1636973397,0.0013012489096315694,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.1501060063514872, 'SHY': 0.8498939936485128}",2,SHY,0.8498939936485128
2004-01-02 00:00:00,995245.0645907256,994827.1003507074,-0.003332217406707305,1.296412375070724,208.99554164021288,208.96869837786244,417.9642400180753,1294018.1136332252,"{'AGG': 0.6502730894201777, 'SHY': 0.20008402751390078, 'TLT': 0.14964288306592163}",3,AGG,0.6502730894201777
2004-01-05 00:00:00,995227.7670249132,995137.4465808809,0.00031195996778143886,0.20160441065646018,45.163472934288805,45.156971098125226,90.32044403241403,200561.53127127953,"{'AGG': 0.6000544570668158, 'SHY': 0.15001361426670395, 'TLT': 0.24993192866648023}",3,AGG,0.6000544570668158
2004-01-06 00:00:00,1000766.8965343604,1000766.8965343604,0.005656957210103286,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5993783606037313, 'SHY': 0.14935119233609329, 'TLT': 0.2512704470601754}",3,AGG,0.5993783606037313
2004-01-07 00:00:00,1003229.9435861239,1003229.9435861239,0.002461159596998108,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5992526943338007, 'SHY': 0.14909293912830268, 'TLT': 0.2516543665378967}",3,AGG,0.5992526943338007
2004-01-08 00:00:00,1002983.6658796924,1002983.6658796924,-0.0002454848043621505,0.0,0.0,0.0,0.0,0.0,"{'AGG': 0.5992245399307815, 'SHY': 0.14914768953121918, 'TLT': 0.25162777053799934}",3,AGG,0.5992245399307815
